DATEADDED,TYPE,INDICATOR,COMMENTAIRE
2/4/2022,MD5,ac9a7a24b3e5229df0e35f99bd8f4dd0,Menace MALVIRT
2/4/2022,MD5,ad59c219813642fc8d9af23131db12d1,Vulnerabilite TRIGONA
2/4/2022,MD5,b21e118e9f6b4b393719e0669214946a,Menace TRIGONA
2/4/2022,MD5,b307dd0043e94400f8632c4d0c4eae0e,Menace TRIGONA
2/4/2022,MD5,bfaffefb3cc7f301d017242ca832cf45,
2/4/2022,MD5,c2135973f6d059d9dd09a853cfa241fc,
2/4/2022,MD5,c5350546e6d22075ac58f0b4410a9c9a,
2/4/2022,MD5,cc79916e1e472a657a9ae216b2602a7b,
2/4/2022,MD5,d1bf7c6e6dde347ea3414cbf38b4e25f,
2/4/2022,MD5,d38cc4879fe0bc66cb8e772b28fbfd15,
2/4/2022,MD5,d3dd19a2ae9228ca71bdf58e3450e205,
2/4/2022,MD5,df831e3d07da42cfa5acf95ef97a753a,
2/6/2022,SHA1,23873bf2670cf64c2440058130548d4e4da412dd,
2/6/2022,SHA1,3c54c9a49a8ddca02189fe15fea52fe24f41a86f,
2/6/2022,SHA1,61b25d11392172e587d8da3045812a66c3385451,
2/6/2022,SHA1,736a4cfad1ed83a6a0b75b0474d5e01a3a36f950,
2/6/2022,SHA1,912342f1c840a42f6b74132f8a7c4ffe7d40fb77,
2/6/2022,SHA1,ad602039c6f0237d4a997d5640e92ce5e2b3bba3,
2/6/2022,SHA1,e9b96e9b86fad28d950ca428879168e0894d854f,
2/6/2022,SHA1,f32d791ec9e6385a91b45942c230f52aff1626df,
2/6/2022,SHA1,771e941ed6ea15df30b9405a233b15da937a3d41,
2/6/2022,SHA1,ff86ee00297625c36492661a61af33b19ded1612,
2/6/2022,SHA1,3847ca79b3fd52b105c5e43b7fc080aac7c5d909,
2/4/2022,SHA256,51b9e03db53b2d583f66e47af56bb0146630f8a175d4a439369045038d6d2a45,
2/4/2022,SHA256,2042a2feb4d9f54d65d7579a0afba9ee1c6d22e29127991fbf34ea3da1659904,
2/4/2022,SHA256,425ee82f20eb87e07a0d4f77adb72bf3377051365be203ee6ded37b399094f20,
2/4/2022,SHA256,fe068e324cd4175f857dfee4c23512ed01f3abbf8b6138b715caa1ba5e9486c0,
2/4/2022,SHA256,798cd714cf9e352c1e9de3d48971a366b09eeffb3513950fd64737d882c25a38,
2/4/2022,SHA256,ef9b39705decbb85269518705053e7f4087758eea6bab4ba9135bf1ae922b2ea,
2/4/2022,SHA256,a87e9d5e03db793a0c7b8e8e197d14745265422f05e6e50867cdfbd150d0c016,
2/4/2022,SHA256,c68eb2fa929373cac727764d2cc5ca94f19a0ec7fd8c0876b98f946e72d9fa03,
2/4/2022,SHA256,3b6445cf6f8e9e70cb0fff35d723fec8203375d67cbd67c9a672cddc02a7ff99,
2/4/2022,SHA256,bae9895ad4e392990a09b1b8a01e424a7ad3769e538ac693919d1b99989f0cb3,
2/4/2022,SHA256,c6e092316f61d2fc9c84299dd224a6e419e74c98c51a44023f8f72530ac28fdc,
2/4/2022,SHA256,cb0d151d930b17f6376c18aa15fd976eac53d6f07d065fc27c40b466e3bc49aa,
16/02/2023,SHA256,6c93c1d6803c0b78bd4436673f6c51b683bc25bb4f1596d394f6ee2942c74369, donnee relle
